Row Labels,Average of Salary in USD
Data Scientist Lead,"$89,306.00"
Data Specialist,"$105,000.00"
Deep Learning Engineer,"$96,361.50"
ETL Developer,"$52,533.00"
ETL Engineer,"$72,286.00"
Financial Data Analyst,"$102,500.00"
Head of Data,"$31,520.00"
Head of Data Science,"$85,402.50"
Insight Analyst,"$47,370.00"
Lead Data Analyst,"$48,212.50"
Lead Data Engineer,"$56,000.00"
Lead Data Scientist,"$88,283.00"
Machine Learning Developer,"$76,814.00"
Machine Learning Engineer,"$131,848.55"
Machine Learning Infrastructure Engineer,"$120,846.25"
Machine Learning Research Engineer,"$81,912.00"
Machine Learning Researcher,"$121,309.00"
Machine Learning Scientist,"$151,508.33"
Machine Learning Software Engineer,"$29,402.00"
Machine Learning Specialist,"$55,000.00"
ML Engineer,"$143,098.08"
MLOps Engineer,"$129,000.00"
NLP Engineer,"$45,733.00"
Principal Data Analyst,"$75,000.00"
Principal Data Scientist,"$151,000.00"
Product Data Analyst,"$58,805.67"
Research Engineer,"$172,596.60"
Research Scientist,"$155,001.13"
Sales Data Analyst,"$60,000.00"
Software Data Engineer,"$74,883.00"
Staff Data Analyst,"$179,998.00"
Junior,"$79,921.48"
AI Developer,"$120,179.25"
AI Programmer,"$56,021.75"
AI Scientist,"$60,911.50"
Analytics Engineer,"$101,333.33"
Applied Data Scientist,"$66,679.00"
Applied Machine Learning Scientist,"$40,766.67"
Applied Scientist,"$164,930.00"
BI Analyst,"$76,000.00"
BI Data Analyst,"$58,234.50"
BI Data Engineer,"$60,000.00"
BI Developer,"$130,000.00"
Big Data Engineer,"$72,076.00"
Business Data Analyst,"$55,739.00"
Business Intelligence Data Analyst,"$99,000.00"
Cloud Data Engineer,"$138,588.50"
Compliance Data Analyst,"$45,000.00"
Computer Vision Engineer,"$115,902.25"
Computer Vision Software Engineer,"$79,691.00"
Data Analyst,"$64,327.75"
Data Analytics Consultant,"$50,000.00"
Data Analytics Engineer,"$20,000.00"
Data Engineer,"$75,370.02"
Data Integration Specialist,"$57,950.00"
Data Manager,"$61,450.00"
Data Quality Engineer,"$23,753.00"
Data Science Consultant,"$59,829.83"
Data Science Engineer,"$104,024.00"
Data Scientist,"$75,021.37"
Data Specialist,"$105,000.00"
Deep Learning Engineer,"$135,000.00"
Finance Data Analyst,"$40,000.00"
Financial Data Analyst,"$100,000.00"
Machine Learning Developer,"$73,600.00"
Machine Learning Engineer,"$98,389.35"
Machine Learning Research Engineer,"$43,096.00"
Machine Learning Scientist,"$129,836.00"
Marketing Data Engineer,"$66,970.00"
ML Engineer,"$18,489.50"
Product Data Analyst,"$91,600.00"
Research Analyst,"$43,064.00"
Research Engineer,"$112,419.90"
Research Scientist,"$140,963.69"
Grand Total,"$142,095.98"
